title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,total_unartistic,percent_clausulae
in verrem 2 1,1084,67,34,3,29,169.0,21.0,50.0,25.0,68.0,87.0,10.0,2.0,2.0,24.0,12.0,3.0,16.0,18.0,214.0,6.0,11.0,63.0,0.0,7.0,114.0,17.0,39.0,15.0,5.0,808.0,19.0,209.0,0.8131760078662733
in verrem 2 2,1256,46,13,7,25,195.0,36.0,61.0,22.0,96.0,92.0,9.0,6.0,6.0,24.0,16.0,8.0,31.0,16.0,264.0,15.0,3.0,75.0,1.0,3.0,109.0,25.0,46.0,25.0,3.0,979.0,23.0,231.0,0.828099173553719
in verrem 2 3,1778,148,20,47,80,251.0,45.0,69.0,28.0,125.0,113.0,17.0,11.0,2.0,29.0,24.0,18.0,21.0,30.0,429.0,18.0,9.0,85.0,3.0,4.0,153.0,32.0,50.0,24.0,7.0,1331.0,33.0,299.0,0.8368098159509203
in verrem 2 4,1193,79,23,7,49,215.0,28.0,58.0,23.0,90.0,96.0,9.0,4.0,7.0,25.0,9.0,9.0,20.0,19.0,249.0,7.0,10.0,60.0,0.0,4.0,82.0,26.0,27.0,10.0,1.0,942.0,26.0,172.0,0.8689407540394973
in verrem 2 5,1163,45,11,4,30,229.0,33.0,63.0,22.0,92.0,74.0,9.0,1.0,5.0,16.0,4.0,4.0,16.0,15.0,271.0,6.0,15.0,51.0,1.0,4.0,100.0,20.0,25.0,12.0,5.0,931.0,25.0,187.0,0.855098389982111
incertorum librorum fragmenta,18,1,0,1,0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,6.0,0.6470588235294118
laelius de amicitia,586,36,10,3,23,100.0,12.0,47.0,12.0,92.0,30.0,11.0,5.0,1.0,7.0,5.0,3.0,10.0,7.0,106.0,4.0,2.0,22.0,1.0,1.0,41.0,8.0,11.0,3.0,2.0,478.0,7.0,72.0,0.8818181818181818
lucullus,1163,53,5,29,17,155.0,30.0,56.0,19.0,165.0,78.0,27.0,10.0,4.0,30.0,15.0,3.0,30.0,16.0,191.0,11.0,9.0,85.0,1.0,7.0,91.0,22.0,34.0,6.0,5.0,942.0,10.0,168.0,0.8576576576576577
orationum depertiarum frr,384,101,19,39,13,46.0,8.0,8.0,5.0,18.0,20.0,1.0,2.0,1.0,1.0,2.0,0.0,6.0,7.0,67.0,4.0,5.0,16.0,4.0,1.0,24.0,10.0,10.0,6.0,2.0,222.0,9.0,61.0,0.8162544169611308
orationum incertarum frr,35,3,0,2,1,4.0,1.0,1.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,26.0,1.0,6.0,0.84375
orator,1205,17,2,8,7,152.0,36.0,57.0,19.0,228.0,97.0,33.0,14.0,3.0,27.0,16.0,2.0,22.0,15.0,204.0,12.0,6.0,104.0,2.0,4.0,65.0,25.0,21.0,7.0,2.0,1053.0,15.0,135.0,0.898989898989899
paradoxa stoicorum,318,28,6,4,8,37.0,5.0,10.0,7.0,50.0,21.0,2.0,4.0,1.0,6.0,1.0,3.0,4.0,1.0,57.0,2.0,2.0,26.0,1.0,1.0,21.0,6.0,9.0,2.0,1.0,241.0,10.0,49.0,0.8655172413793103
philippicae,4187,227,122,9,96,708.0,97.0,234.0,60.0,591.0,228.0,72.0,17.0,10.0,72.0,25.0,15.0,52.0,47.0,849.0,59.0,16.0,184.0,4.0,11.0,345.0,55.0,103.0,36.0,10.0,3351.0,60.0,609.0,0.8613636363636363
philippicae 1,288,14,5,0,9,54.0,10.0,11.0,5.0,40.0,17.0,3.0,0.0,0.0,3.0,3.0,1.0,5.0,4.0,58.0,0.0,2.0,11.0,1.0,0.0,31.0,2.0,5.0,4.0,1.0,228.0,3.0,46.0,0.843065693430657
philippicae 10,192,15,12,0,3,37.0,1.0,8.0,1.0,27.0,13.0,5.0,1.0,2.0,4.0,0.0,1.0,4.0,2.0,32.0,1.0,0.0,11.0,0.0,1.0,12.0,6.0,3.0,1.0,1.0,151.0,3.0,26.0,0.8700564971751412
philippicae 11,320,15,9,1,5,50.0,3.0,16.0,4.0,53.0,14.0,6.0,2.0,1.0,3.0,2.0,0.0,5.0,8.0,67.0,8.0,1.0,20.0,0.0,1.0,27.0,2.0,4.0,3.0,2.0,264.0,3.0,41.0,0.8754098360655738
