,title,total clausulae,pure cretic trochee (-u--x),cretic trochee 1 res (uuu--x),cretic trochee 1 res (-uuu-x),cretic trochee 1 res (-u-uux),cretic trochee 1 res total,cretic trochee 2 res (uuuuu-x),cretic trochee 2 res (uuu-uux),cretic trochee 2 res (-uuuuux),cretic trochee 2 res total,cretic trochee pure+res total,cretic trochee choriambic res,cretic trochee chor 1 res (uuuu--x),cretic trochee chor 1 res (-uuuu-x),cretic trochee chor 1 res (-uu-uux),cretic trochee chor 1 res total,cretic trochee choriambic total,cretic trochee epitrite res,cretic trochee ep 1 res (uuu---x),cretic trochee ep 1 res (-uuu--x),cretic trochee ep 1 res (-u-uu-x),cretic trochee ep 1 res (-u--uux),cretic trochee ep 1 res total,cretic trochee epitrite total,cretic trochee total,double/molossus-cretic pure double cretic,double/molossus-cretic pure molossus cretic,double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic 1 res total,double/molossus-cretic pure+res total,double/molossus-cretic choriambic res,double/molossus-cretic chor 1 res (uuuu--ux),double/molossus-cretic chor 1 res (-uuuu-ux),double/molossus-cretic chor 1 res (-uu-uuux),double/molossus-cretic chor 1 res total,double/molossus-cretic chor total,double/molossus-cretic epitrite res,double/molossus-cretic epitrite 1 res (uuu---ux),double/molossus-cretic epitrite 1 res (-uuu--ux),double/molossus-cretic epitrite 1 res (-u-uu-ux),double/molossus-cretic epitrite 1 res total,double/molossus-cretic ep total,double/molossus-cretic total
30,pro flacco,1686.0,123.0,19.0,49.0,13.0,81.0,7.0,2.0,4.0,13.0,217.0,5.0,3.0,0.0,0.0,3.0,8.0,15.0,3.0,15.0,2.0,4.0,24.0,39.0,264.0,63.0,52.0,6.0,6.0,1.0,13.0,128.0,14.0,1.0,1.0,1.0,3.0,17.0,13.0,3.0,5.0,0.0,8.0,21.0,166.0
31,orationum depertiarum frr,770.0,51.0,8.0,10.0,7.0,25.0,4.0,2.0,0.0,6.0,82.0,5.0,3.0,1.0,1.0,5.0,10.0,5.0,1.0,5.0,3.0,4.0,13.0,18.0,110.0,21.0,24.0,1.0,2.0,1.0,4.0,49.0,6.0,0.0,2.0,1.0,3.0,9.0,8.0,2.0,1.0,0.0,3.0,11.0,69.0
32,epistulae fragmenta,278.0,13.0,1.0,5.0,5.0,11.0,0.0,1.0,0.0,1.0,25.0,5.0,0.0,0.0,2.0,2.0,7.0,4.0,1.0,1.0,1.0,2.0,5.0,9.0,41.0,15.0,9.0,0.0,2.0,1.0,3.0,27.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,33.0
33,pro roscio amerino,1802.0,80.0,28.0,36.0,20.0,84.0,8.0,4.0,5.0,17.0,181.0,14.0,5.0,4.0,3.0,12.0,26.0,17.0,3.0,21.0,4.0,4.0,32.0,49.0,256.0,62.0,73.0,15.0,6.0,2.0,23.0,158.0,17.0,5.0,1.0,2.0,8.0,25.0,17.0,5.0,9.0,1.0,15.0,32.0,215.0
34,de republica,3190.0,117.0,20.0,49.0,15.0,84.0,4.0,2.0,2.0,8.0,209.0,10.0,3.0,2.0,7.0,12.0,22.0,28.0,4.0,17.0,5.0,9.0,35.0,63.0,294.0,196.0,121.0,20.0,9.0,5.0,34.0,351.0,30.0,3.0,2.0,3.0,8.0,38.0,15.0,5.0,17.0,3.0,25.0,40.0,429.0
35,pro lege manilia,604.0,88.0,6.0,31.0,5.0,42.0,2.0,0.0,0.0,2.0,132.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,6.0,0.0,0.0,6.0,10.0,144.0,13.0,13.0,1.0,2.0,0.0,3.0,29.0,4.0,1.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,1.0,6.0,40.0
36,orationum incertarum frr,70.0,4.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,9.0,3.0,4.0,2.0,1.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,12.0
37,pro ligario,514.0,36.0,6.0,20.0,1.0,27.0,0.0,1.0,1.0,2.0,65.0,5.0,1.0,1.0,0.0,2.0,7.0,4.0,2.0,5.0,1.0,2.0,10.0,14.0,86.0,30.0,19.0,4.0,3.0,0.0,7.0,56.0,5.0,0.0,0.0,1.0,1.0,6.0,5.0,1.0,4.0,0.0,5.0,10.0,72.0
38,commentarii causarum,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
39,pro tullio,602.0,16.0,8.0,7.0,7.0,22.0,1.0,1.0,1.0,3.0,41.0,2.0,2.0,0.0,1.0,3.0,5.0,7.0,0.0,6.0,1.0,2.0,9.0,16.0,62.0,13.0,17.0,2.0,1.0,1.0,4.0,34.0,7.0,0.0,0.0,2.0,2.0,9.0,5.0,3.0,2.0,1.0,6.0,11.0,54.0
