title,total_clausulae,total_excluded,abbrev_excluded,bracket_excluded,short_excluded,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),total_artistic,misc_clausulae,percent_clausulae
pro plancio,1996,285,67,12,206,226.0,23.0,70.0,35.0,119.0,70.0,18.0,7.0,8.0,27.0,10.0,16.0,25.0,17.0,409.0,19.0,21.0,84.0,3.0,9.0,192.0,48.0,92.0,21.0,4.0,1573.0,138.0,1.0
pro quinctio,1630,330,102,11,203,115.0,31.0,28.0,44.0,97.0,88.0,4.0,3.0,9.0,30.0,7.0,6.0,28.0,21.0,228.0,16.0,8.0,77.0,4.0,3.0,194.0,46.0,72.0,18.0,6.0,1183.0,117.0,1.0
pro rabirio perduellionis reo,607,156,67,9,75,63.0,8.0,19.0,12.0,28.0,31.0,1.0,4.0,2.0,7.0,6.0,2.0,7.0,4.0,90.0,7.0,0.0,16.0,0.0,0.0,51.0,11.0,27.0,6.0,0.0,402.0,49.0,1.0
pro rabirio postumo,764,144,17,22,105,65.0,18.0,17.0,14.0,56.0,47.0,7.0,1.0,1.0,12.0,5.0,5.0,15.0,9.0,101.0,4.0,6.0,38.0,1.0,4.0,85.0,26.0,35.0,11.0,3.0,586.0,34.0,1.0
pro rege deiotaro,676,84,14,1,69,90.0,12.0,30.0,10.0,57.0,33.0,9.0,3.0,6.0,5.0,2.0,2.0,9.0,6.0,111.0,7.0,7.0,28.0,2.0,1.0,69.0,11.0,38.0,4.0,1.0,553.0,39.0,1.0
pro roscio amerino,2127,378,86,20,260,151.0,37.0,58.0,51.0,97.0,126.0,25.0,7.0,2.0,35.0,25.0,18.0,33.0,32.0,344.0,24.0,21.0,81.0,4.0,11.0,213.0,70.0,109.0,26.0,14.0,1614.0,135.0,1.0
pro roscio comoedo,947,171,22,15,130,82.0,13.0,17.0,14.0,30.0,32.0,8.0,3.0,11.0,7.0,7.0,6.0,6.0,10.0,137.0,12.0,8.0,35.0,1.0,6.0,145.0,24.0,67.0,14.0,4.0,699.0,77.0,1.0
pro scauro,562,108,20,3,63,75.0,6.0,23.0,7.0,29.0,18.0,5.0,1.0,1.0,6.0,1.0,4.0,3.0,3.0,106.0,5.0,4.0,15.0,1.0,1.0,61.0,7.0,23.0,3.0,2.0,410.0,44.0,1.0
pro sestio,2898,406,78,23,305,400.0,43.0,105.0,47.0,157.0,111.0,23.0,12.0,7.0,19.0,13.0,11.0,28.0,28.0,570.0,21.0,19.0,112.0,5.0,9.0,349.0,83.0,124.0,37.0,7.0,2340.0,152.0,1.0
pro sulla,1607,252,47,11,194,178.0,20.0,48.0,38.0,95.0,97.0,7.0,5.0,11.0,27.0,8.0,8.0,12.0,17.0,284.0,13.0,15.0,50.0,1.0,9.0,171.0,47.0,74.0,25.0,2.0,1262.0,93.0,1.0
pro tullio,652,145,35,8,52,30.0,16.0,14.0,14.0,25.0,34.0,4.0,5.0,5.0,9.0,5.0,5.0,8.0,7.0,95.0,4.0,11.0,25.0,1.0,3.0,80.0,18.0,39.0,4.0,3.0,464.0,43.0,1.0
rhetorica ad herennium,6685,931,12,36,874,496.0,106.0,140.0,123.0,132.0,238.0,35.0,36.0,40.0,63.0,35.0,41.0,61.0,80.0,1391.0,68.0,95.0,246.0,14.0,46.0,933.0,273.0,428.0,126.0,25.0,5271.0,483.0,1.0
timaeus,741,46,0,9,38,76.0,14.0,39.0,13.0,60.0,34.0,10.0,6.0,3.0,9.0,6.0,4.0,14.0,10.0,134.0,11.0,7.0,35.0,3.0,3.0,67.0,23.0,43.0,13.0,1.0,638.0,57.0,1.0
topica,1250,94,3,0,88,92.0,18.0,26.0,26.0,113.0,74.0,15.0,8.0,4.0,16.0,11.0,9.0,17.0,17.0,219.0,18.0,18.0,68.0,7.0,4.0,151.0,42.0,84.0,17.0,7.0,1081.0,75.0,1.0
tusculanae disputationes,9225,955,31,54,812,848.0,181.0,321.0,165.0,773.0,434.0,115.0,55.0,54.0,144.0,59.0,69.0,103.0,102.0,1475.0,106.0,113.0,493.0,25.0,49.0,947.0,316.0,552.0,121.0,42.0,7662.0,608.0,1.0
